t,a
"Les communications entre la France et la Russie en cas de guerre européenne : voyages aériens au long cours / par É. Deburaux,...","Deburaux, Édouard (1864-1904)"
ROMANTIQUE RUSSIE ; BALATON ; DOINA VODA ; DJUSKA Airs populaires / [auteur non mentionné] ; Gabor RADICS ; et son orchestre Tzigane,"Radics, Gabor. Direction d'orchestre"
"Mémoires secrets sur la Russie et particulièrement sur la fin du règne de Catherine II et le commencement de celui de Paul Ier. T3 / , formant un tableau des moeurs de St-Pétersbourg à la fin du XVIIIe siècle...","Masson, Charles-François-Philibert (1761-1807)"
Musique et opera en Russie et en Europe centrale : Introduction,"Melani, Pascale"
Musique et opera en Russie et en Europe centrale : Introduction,"MELANI, Pascale"
Les usages des sciences économiques en Russie entre les années 1960 et 1990,"Chmatko, Natalia"
Rapports entre la Russie et les républiques ex-soviétiques,"Bortoli, Georges"
"Les Français en Russie au siècle des Lumières. Dictionnaire des Français, Suisses, Wallons et autres francophones en Russie de Pierre le Grand à Paul Ier, sous la direction de Anne Mézin et Vladislav","Fortunati, Vittorio"
A la recherche de l'oiseau de vie dans la petite Russie : dans la steppe / par Renée de Mont-Louis,"Mont-Louis, Renée de"
"Cultures & Conflits, n°42, été 2001, « Le crime organisé en Russie : nouvelles approches », numéro spécial sous la direction de Gilles Favarel-Garrigues","Champeyrache, Clotilde"
