t,a
"Cultures & Conflits, n°42, été 2001, « Le crime organisé en Russie : nouvelles approches », numéro spécial sous la direction de Gilles Favarel-Garrigues","Clotilde, Champeyrache"
"""L'Empereur de Russie apprenant le résultat des élections de Paris accorde au courrier une gratification extraordinaire"", qui consiste en un coup de pied bien appliqué. A dr., et le n° 149 : [estampe]","Cham (1818-1879). Illustrateur,"
"Des forces productives, destructives et improductives de la Russie ([Reprod.]) / par A. Jourdier,..","Jourdier, Auguste (1822-19..?). Auteur du texte"
Europe - Asie - Russie : l'équation gazière de la Caspienne,"Locatelli, Catherine"
Séminaire. Le Saint-Siège face à la Russie orthodoxe,"Champ, Nicolas"
La Russie a-t-elle une grande stratégie au Moyen-Orient ?,"Deville-Fradin, Valentine"
"Ivan le Terrible, ou La Russie au XVIe siècle : roman historique / par le comte Alexis Tolstoy ; traduit du russe avec une introduction par le prince Augustin Galitzin","Tolstoj, Aleksej Konstantinovič (1817-1875)"
"Partie méridionale de la Russie européenne où sont distinguées exactement toutes les provinces, d'après le détail de l'Atlas Russien / par le Sr. Robert de Vaugondy fils","Robert de Vaugondy, Didier (1723-1786). Cartographe"
"Ni paix, ni sécurité pour l'Europe avec la Russie telle qu'elle est / par A. W,...","Wołodkowicz, Alexandre (1805-1875)"
"Bibliographie d'un réquisitoire [La Russie vue par la presse parisienne, juillet 1848-juillet 1859]","Sturdza, Mihaïl D."
"Voyage présidentiel en Russie [Poincaré, en juillet 1914, estrade décorée] : [photographie de presse] / [Agence Rol]","Agence Rol. Agence photographique,"
Comédiennes françaises en tournée en Russie au XIXeme siècle,"Autant-Mathieu, Marie-Christine"
"Carte du théatre de la guerre entre la France et la Russie / par le Sr Moithey, ingénieur géographe","Moithey, Maurille-Antoine (1732-1805). Auteur du texte"
"Carte du théatre de la guerre entre la France et la Russie / par le Sr Moithey, ingénieur géographe","Jean (17..-1839 ; éditeur). Auteur du texte,"
Kulischer E. - Le potentiel humain de la Russie soviétique,"S, A"
"Au départ des troupes françaises pour la Russie en mai 1854 : marche guerrière / paroles de Marguerite, m.ise de Musset ; air de ""L'avare"" [de Delsarte]","Delsarte, François (1811-1871). Compositeur présumé"
La France et la Russie contre la Triple Alliance : la grande guerre / par le lieutenant-adjudant-major Massard...,"Massard, Émile (1857-1932). Auteur du texte"
Cours complet de mathématiques pures / dédié à S.M. Alexandre Ier empereur de Russie / Tome premier /,"Francoeur, Louis-Benjamin (1785-1855),"
Accoglimento di S.S. Pio VI delle L.L.A.A.R. R. delle Russie ora felicimente regnanti : seguito in Roma il di 8. febbrajo 1782 : [estampe] / G. Beys inv. & del. ; A. Lazzarini sculp. Romae,"Lazzarini, Giovanni Andrea (1710-1801). Graveur"
Accoglimento di S.S. Pio VI delle L.L.A.A.R. R. delle Russie ora felicimente regnanti : seguito in Roma il di 8. febbrajo 1782 : [estampe] / G. Beys inv. & del. ; A. Lazzarini sculp. Romae,"Beys, Giacomo (17..-18.. ; dessinateur). Dessinateur du modèle"
"National-bolchevisme et néo-eurasisme dans la Russie contemporaine. La carrière militante d’une idéologie, de Véra Nikolski, Paris, Éditions mare & martin, 2013, 420 p.","Parker, Sébastien"
Russie et matières critiques,"Julienne, Didier"
Les tsars du XIXe siècle : la Russie contemporaine / par J.-M. Villefranche,"Villefranche, Jacques-Melchior (1829-1904). Auteur du texte"
"La Russie à la fin du 19e siècle / Commission impériale de Russie à l'Exposition universelle de Paris ; ouvrage publ. sous la dir. de M. W. de Kovalevsky,... ; [trad. de M. Rocher]","Exposition internationale (1900 ; Paris). Commission impériale de Russie. Auteur du texte,"
La Russie en quête d’identité,"Carrère d’Encausse, Hélène,"
Les forêts de la Russie et leurs produits,"Barbié du Bocage,"
Plan d’une université pour le gouvernement de Russie ou d’une éducation publique dans toutes les sciences,"Diderot, Denis (1713-1784),"
"Victor Jivov : Jazyk i kul'tura v Rossii XVIII veka [Langue et culture en Russie du 18e siècle], 1996","Anguélina, Vatcheva"
"Colonne érigée à l'occasion de la visite du tsar de Russie à Betheny, restée intacte au milieu des ruines : [photographie de presse] / Agence Meurisse","Agence de presse Meurisse. Agence photographique,"
"Russie d'Asie 1:2 000 000. [6], Omsk","France. Service géographique de l'armée. Cartographe,"
"Pétition présentée à la Chambre des Députés pour la prier de prendre en considération les événemens de l'Orient et la guerre par laquelle la Russie menace l'indépendance de l'Europe , par Adrien Féline","Féline, Adrien (1793-1863). Auteur du texte"
Carte nouvelle de tout l'empire de la Grande Russie dans l'estat ou il s'est trouvé à la mort de Pierre le Grand : avec privilège,"[s.n.],"
Le régime économique de la Russie / par Maxime Kovalewsky...,"Kovalevskiǐ, Maksim Maksimovitch (1851-1916)"
La stratégie de l’Union européenne à l’égard de la Russie : différer pour mieux attendre ? (1991-2003),"Gomart, Thomas"
"L'Église, la France et le schisme en Orient : études historiques sur les chrétientés orientales et sur la guerre contre la Russie / par Eugène Veuillot","Veuillot, Eugène (1818-1905)"
Un “Civilisationel Turn” en Russie ?,"Scherrer, Jutta"
Un “Civilisationel Turn” en Russie ?,"SCHERRER, Jutta"
"Sociétés, État, populations en Russie et en URSS","Claudie, Weill"
"Sociétés, État, populations en Russie et en URSS","Weill, Claudie"
"Sociétés, État, populations en Russie et en URSS","WEILL, CLAUDIE"
Du tout à la partie. L'âge d'or du sondage en Russie (1885-1924),"Mespoulet, Martine"
La Russie dans le Caucase,"Romer, Jean-Christophe"
L'influence de Pobedonotsev sur la Russie des années 1880,"Hammer, Michel"
""" Comment sont regardés les films sur la Grande Guerre patriotique dans la Russie actuelle ?","Désert, Myriam"
""" Comment sont regardés les films sur la Grande Guerre patriotique dans la Russie actuelle ?","Myriam, Désert"
""" Comment sont regardés les films sur la Grande Guerre patriotique dans la Russie actuelle ?","Desert, Myriam"
""" Comment sont regardés les films sur la Grande Guerre patriotique dans la Russie actuelle ?","DESERT, Myriam"
""" Comment sont regardés les films sur la Grande Guerre patriotique dans la Russie actuelle ?","Myriam, Desert"
Le cabinet de Saint-Pétersbourg face au marquis de Custine : une réfutation inédite de La Russie en 1839,"Ospovat, Alexandre"
"Sociétés, État, populations en Russie et en URSS","Blum, Alain"
"Sociétés, État, populations en Russie et en URSS","Le Noir, Alain"
"Sociétés, État, populations en Russie et en URSS","BLUM, Alain"
Le sonnet contemporain en Russie et en France,"Vashkevich, Nadezda"
"Alexis Bérelowitch et Michel Wievorka. Les Russes d'en bas. Enquête sur la Russie postcommunisteJean Radvanyi. La nouvelle Russie : l'après 1991. Un nouveau ""temps des troubles""","Catherine, De Montlibert"
"Alexis Bérelowitch et Michel Wievorka. Les Russes d'en bas. Enquête sur la Russie postcommunisteJean Radvanyi. La nouvelle Russie : l'après 1991. Un nouveau ""temps des troubles""","Montlibert, Catherine de"
"Alexis Bérelowitch et Michel Wievorka. Les Russes d'en bas. Enquête sur la Russie postcommunisteJean Radvanyi. La nouvelle Russie : l'après 1991. Un nouveau ""temps des troubles""","de Montlibert, Catherine"
Eurasie : Russie : Caucase : Caucase du Nord : République de Karatchaïévo-Tcherkessie : Dombaï : Marché kolkhozien de la laine,"Radvanyi, Jean"
Eurasie : Russie : Caucase : Caucase du Nord : République de Karatchaïévo-Tcherkessie : Dombaï : Marché kolkhozien de la laine,"RADVANYI, Jean"
Eurasie : Russie : Caucase : Caucase du Nord : République de Karatchaïévo-Tcherkessie : Dombaï : Marché kolkhozien de la laine,"Jean, Radvanyi"
Les origines de la Russie moderne,"Sapir, Jacques"
Les origines de la Russie moderne,"SAPIR, Jacques"
Les origines de la Russie moderne,"Sapir, jacques"
Le cabinet de Saint-Pétersbourg face au marquis de Custine : une réfutation inédite de La Russie en 1839,"Milchina, Vera"
Le cabinet de Saint-Pétersbourg face au marquis de Custine : une réfutation inédite de La Russie en 1839,"Miltchina, Vera"
Le cabinet de Saint-Pétersbourg face au marquis de Custine : une réfutation inédite de La Russie en 1839,"Milchina, Véra"
Le cabinet de Saint-Pétersbourg face au marquis de Custine : une réfutation inédite de La Russie en 1839,"Miltchina, Véra"
Le cabinet de Saint-Pétersbourg face au marquis de Custine : une réfutation inédite de La Russie en 1839,"Vera, Milchina"
"Transformations sociales et transition en Russie : « Intelligentsias »* et emploi, 1988-1994","Belgodère, Marie-Rose"
"Sociétés, État, populations en Russie et en URSS","Bechtel, Delphine"
"Sociétés, État, populations en Russie et en URSS","Delphine, Bechtel"
"Sociétés, État, populations en Russie et en URSS","Berelowitch, Wladimir"
"Sociétés, État, populations en Russie et en URSS","Wladimir, Berelowitch"
Arrivée des otages français retenus en Russie : le général Pan donnant le bras à Mlle Carlier : [photographie de presse] / Agence Meurisse,"Agence de presse Meurisse. Agence photographique,"
Le voyage de M. Poincaré en Russie : le Tsar et M. Poincaré passant les troupes en revue : [photographie de presse] / Agence Meurisse,"Agence de presse Meurisse. Agence photographique,"
Le péril révolutionnaire en Russie à travers la diplomatie française (juillet 1916 - janvier 1918),"Soulard, Gwénolé"
Etre opposant dans la Russie de Vladimir Poutine,"Daucé, Françoise"
"La comtesse Tolstoï, fille de l'écrivain, fait appel au monde pour délivrer la Russie des Soviets : [photographie de presse] / Acmé","Acme Newspicture (Agence de presse). Agence photographique,"
"Samedi 16 mai 2015, 15H : 1915 : un tournant pour la Russie en guerre ? Alexandre Sumpf à l'Historial","Fontaine, Caroline"
La Russie de Poutine : le miroir grossissant d’une dérive,"Roche, Michel"
"Carte géographique de l'Asie Mineure rédigée à l'échelle de 1 : 1 000 000 / par A. de Bolotoff, général à l'Etat-Major de Russie ; d'après des matériaux inédits et les données fournies par A. de Tchihatcheff","Bolotoff, A. de (18..-18.. ; général). Fonction indéterminée"
"Carte géographique de l'Asie Mineure rédigée à l'échelle de 1 : 1 000 000 / par A. de Bolotoff, général à l'Etat-Major de Russie ; d'après des matériaux inédits et les données fournies par A. de Tchihatcheff","Tchikhatcheff, Petr Aleksandrovitch (1812-1890). Fonction indéterminée"
"Carte géographique de l'Asie Mineure rédigée à l'échelle de 1 : 1 000 000 / par A. de Bolotoff, général à l'Etat-Major de Russie ; d'après des matériaux inédits et les données fournies par A. de Tchihatcheff","Baudry, Gide (18..-18.. ; éditeur). Fonction indéterminée"
"Sociétés, État, populations en Russie et en URSS","Anne Goldberg, Sylvie,"
"Ennemis anciens, justifications nouvelles en Russie post-soviétique","Daucé, Françoise"
La Russie et les russes.... [Volume 2] / par N. Tourgueneff,"Turgenev, Nikolaj Ivanovič (1789-1871). Auteur du texte"
Carte de la Grande Russie ou Moscovie : avec privil,"Duval, Pierre"
&#8220;La Russie a peut-&#234;tre Plus besoin de la guerre en Tch&#233;tch&#233;nie que de la Tch&#233;tch&#233;nie elle-m&#234;me&#8221; : À propos du livre Tchétchénie : une affaire intérieure ?,"Donnard, Giselle"
"France-Russie : Intellectuels, pouvoir et littérature aux XVIIIe, XIXe et XXe siècles","Équipe de recherche Fabula,"
Les bisons en Russie européenne pendant la Première guerre mondiale,"MODERT, P."
"L'éthique corporatiste, l'éthique de samostojatel'nost' et l'esprit du capitalisme: réflexions sur la création du marché en Russie post-soviétique","Kharkhordine, Oleg"
"L'éthique corporatiste, l'éthique de samostojatel'nost' et l'esprit du capitalisme: réflexions sur la création du marché en Russie post-soviétique","Tchimichkian, Madeleine"
"Les dons en faveur du clergé français émigré, collectés dans l'Empire de Russie en 1794 et 1798","Ollivier-Chakhnovskaia, Julie"
Que reste-t-il de l’Union soviétique dans la Russie d’aujourd’hui ?,"guerre-froide,"
"""Espaces et temps. L'exemple de la Biélorussie et de l'Europe orientale post soviétique""","Yann, Richard"
La place de la Russie dans l'approvisionnement gazier européen,"Locatelli, Catherine"
"Luna Papa : L’avenir est ailleurs. Luna Papa, Allemagne / Autriche / Russie / Suisse / France 1999, 107 minutes","Haïm, Monica"
"Luna Papa : L’avenir est ailleurs. Luna Papa, Allemagne / Autriche / Russie / Suisse / France 1999, 107 minutes","Haim, Monica"
"Le manuscrit Fr. F. V. XIV, 8 de la Bibliothèque nationale de Russie à Saint-Pétersbourg","Marchandisse, Alain"
"Le manuscrit Fr. F. V. XIV, 8 de la Bibliothèque nationale de Russie à Saint-Pétersbourg","Alain, Marchandisse"
"Russie 2003 : Sous contrôle, mais pour quoi faire ?","Rucker, Laurent"
"Le manuscrit Fr. F. V. XIV, 8 de la Bibliothèque nationale de Russie à Saint-Pétersbourg","Dumont, Jonathan"
"Le manuscrit Fr. F. V. XIV, 8 de la Bibliothèque nationale de Russie à Saint-Pétersbourg","Jonathan, Dumont"
Un « fardeau léger ». Les orthodoxes dans la Russie des années 1990-2000,"Dubin, Boris"
À propos de la pédagogie en Russie au début du XIXe siècle,"Eeckaute-Bardery, Denise"
À propos de la pédagogie en Russie au début du XIXe siècle,"Eeckaute, Denise"
À propos de la pédagogie en Russie au début du XIXe siècle,"Eeckaute, D."
Un double monstrueux : la culture criminelle en Russie post-soviétique (partie 2),"Oleinik, Anton"
Un double monstrueux : la culture criminelle en Russie post-soviétique,"Oleinik, Anton"
Quel fédéralisme pour la Russie ?,"Zhuravskaya, Ekaterina"
La Russie : le pays - les institutions - les moeurs,"Wallace, Donald Mackenzie (1841-1919)"
La dernière étoile de Diaghilev dans la Russie en émigration. Serge Lifar de 1929 à 1939,"Veroli, Patrizia"
""" 2012 et au-delà : attentes des Européens et scénarios pour la Russie ""","Boniface, Pascal"
""" 2012 et au-delà : attentes des Européens et scénarios pour la Russie ""","BONIFACE, Pascal"
Le Dit d'Eymundr et le martyre du prince Boris de Russie (1015),"Jean-Pierre, Arrignon"
Le Dit d'Eymundr et le martyre du prince Boris de Russie (1015),"Arrignon, Jean-Pierre"
Le Dit d'Eymundr et le martyre du prince Boris de Russie (1015),"Arrignon, J.-P."
"Pierling, S. J., la Russie et le Saint-Siège. Etudes diplomatiques, t, III, IV et V","Martin, Jugie"
"Pierling, S. J., la Russie et le Saint-Siège. Etudes diplomatiques, t, III, IV et V","Jugie, M."
"Pierling, S. J., la Russie et le Saint-Siège. Etudes diplomatiques, t, III, IV et V","Jugie, Martin"
"Pierling, S. J., la Russie et le Saint-Siège. Etudes diplomatiques, t, III, IV et V","Jugie., M."
